               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.039029,            0.018385,                   0,             0.86345,                   1,             0.92615,             0.62966,            0.018748,            0.009433,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.033068,            0.010513,                   0,             0.86345,                   1,             0.92615,             0.62966,            0.018748,            0.009433,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,             0.04331,            0.012069,                   0,             0.94999,             0.99973,              0.9875,             0.56099,             0.02072,           0.0092756,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.033742,            0.011875,                   0,             0.94999,             0.99973,              0.9875,             0.56099,             0.02072,           0.0092756,                   0,            0.006436,            0.006436,            0.006436
                 146,            0.030802,            0.015199,                   0,             0.94999,             0.99973,              0.9875,             0.56099,             0.02072,           0.0092756,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,            0.035306,            0.011399,                   0,             0.99972,                   1,               0.995,             0.67636,            0.021415,           0.0089984,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,             0.03962,            0.013895,                   0,             0.99972,                   1,               0.995,             0.67636,            0.021415,           0.0089984,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.040938,            0.014908,                   0,             0.99972,                   1,               0.995,             0.67636,            0.021415,           0.0089984,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.037262,            0.013056,                   0,                0.95,             0.99991,              0.9875,             0.78147,            0.017258,           0.0091701,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.035623,             0.01175,                   0,                0.95,             0.99991,              0.9875,             0.78147,            0.017258,           0.0091701,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.040289,            0.012473,                   0,             0.86357,                   1,             0.97171,             0.69905,            0.022343,           0.0087386,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.038707,            0.012653,                   0,             0.86357,                   1,             0.97171,             0.69905,            0.022343,           0.0087386,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.031935,            0.011164,                   0,             0.86357,                   1,             0.97171,             0.69905,            0.022343,           0.0087386,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,            0.028463,            0.015055,                   0,                   1,             0.99986,               0.995,              0.7331,            0.016595,           0.0085979,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.032554,            0.010369,                   0,                   1,             0.99986,               0.995,              0.7331,            0.016595,           0.0085979,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.033616,            0.014124,                   0,                   1,             0.99986,               0.995,              0.7331,            0.016595,           0.0085979,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.033183,            0.013843,                   0,                   1,                   1,               0.995,             0.70581,            0.015167,           0.0086429,                   0,           0.0061142,           0.0061142,           0.0061142
                 159,            0.031965,            0.015564,                   0,                   1,                   1,               0.995,             0.70581,            0.015167,           0.0086429,                   0,           0.0060895,           0.0060895,           0.0060895
